query,clicks,impressions,avg_click_position,avg_impression_position,date
reumen de colores dee la felicidad de viviana rivero  imprimir pantalla,3,1,-1,1,2025-01-03
el monje que vendió su ferrari,2,4,-1,6,2025-01-03
resumen del libro el vagabundo de las estrellas,2,3,-1,1,2025-01-03
mueren mas por desamor libro analisis,2,2,-1,2,2025-01-03
lo que encontré bajo el sofá resumen,2,2,-1,3,2025-01-03
libro de walter riso enamorate de ti sipnosis,2,2,-1,9,2025-01-03
resumen libro el diablo en la ciudad blanca,2,1,-1,2,2025-01-03
bajo la arena de egipto resumen,2,1,-1,3,2025-01-03
los viajes de tuf cronologia,2,1,-1,2,2025-01-03
resumenes del libro el manuscrito de piera,2,1,-1,4,2025-01-03
kafka y la muñeca viajera resumen,2,1,-1,2,2025-01-03
resumen del libro casi el paraíso de los spota,2,1,-1,2,2025-01-03
resumen de colores de la felicidad de viviana rivero imprimir pantalla,2,1,-1,1,2025-01-03
resumen el tiempo y la promesa,2,1,-1,2,2025-01-03
misiones del mossad,1,5,-1,10,2025-01-03
el libro del desasosiego,1,5,-1,7,2025-01-03
personajes principales de ahora que estamos juntos,1,4,-1,1,2025-01-03
el resumen de la obra juan mqdrid sobre las a,1,3,-1,3,2025-01-03
resumen del libro de la estrella maldita en poesía,1,3,-1,7,2025-01-03
género novela las puertas templariasde javier sierra,1,3,-1,5,2025-01-03
resumen del libro chimamanda como educar en el feminismo,1,2,-1,2,2025-01-03
resumen de un desastre de cumpleaños libro de martina,1,2,-1,1,2025-01-03
7 hábitos de adolescentes altamente efectivos resumen largos y importantes,1,2,-1,1,2025-01-03
asintotal resumen y edad del libro de carlos migelcortes,1,2,-1,1,2025-01-03
resumen del libro muerte de un hombre feliz,1,2,-1,1,2025-01-03
resumen de la saga de crepúsculo,1,2,-1,6,2025-01-03
la comadrona novela,1,2,-1,6,2025-01-03
mi ultimo suspiro de luis buñuel,1,2,-1,6,2025-01-03
resumen de la novela me llaman rojo,1,2,-1,6,2025-01-03
prisioneros de la geografía tim marshall resumen,1,2,-1,3,2025-01-03
stuart mill sobre la libertad reseña del,1,1,-1,10,2025-01-03
luna caliente resumen,1,1,-1,5,2025-01-03
book review la lengua de las mariposas,1,1,-1,4,2025-01-03
maricarmen hernández rodríguez los demonios del eden,1,1,-1,8,2025-01-03
el domador de leones camilla lackberg reseña,1,1,-1,4,2025-01-03
personajes del don juan de moliere,1,1,-1,8,2025-01-03
las viudas de los jueves libro,1,1,-1,7,2025-01-03
resumen la montaña parlante tea stilton,1,1,-1,3,2025-01-03
el hijo de la bruja resumen,1,1,-1,3,2025-01-03
trópico de capricórnio henry miller resumen,1,1,-1,2,2025-01-03
poetica di shakespeare resumen corto,1,1,-1,5,2025-01-03
resumen de la mosca el libro,1,1,-1,4,2025-01-03
jordi sierra el asesinato del profesor de matematicas sinopsis,1,1,-1,2,2025-01-03
la vida contada dr in sapiens a in neanderthal resumen,1,1,-1,5,2025-01-03
¿me lo prestas? emily giffin,1,1,-1,4,2025-01-03
la segunda parte de corazón de león escrita por ven jane cuando se edita?,1,1,-1,1,2025-01-03
cómo se formó el universo y ek agujero negro didáctico,1,1,-1,6,2025-01-03
novela erótica peleas de perros,1,1,-1,1,2025-01-03
libro mila 18 uris,1,1,-1,2,2025-01-03
resumen la montaña parlante club de tea,1,1,-1,3,2025-01-03
entre un año que agoniza,1,1,-1,8,2025-01-03
resumen libro la montaña parlante,1,1,-1,2,2025-01-03
por que los hombres aman alas cabronas pdf,1,1,-1,42,2025-01-03
libro la mitad oscura stephen king resumen,1,1,-1,5,2025-01-03
resumen iron flowers,1,1,-1,5,2025-01-03
el prisionero del cielo libro resumen,1,1,-1,6,2025-01-03
el mito de cristo critica del libro de gonzlo,1,1,-1,1,2025-01-03
autor del libro kaputt,1,1,-1,3,2025-01-03
museo de la novela de la eterna personajes,1,1,-1,5,2025-01-03
"manuel vicent ""qué opina del autor de la encuesta""",1,1,-1,1,2025-01-03
delphine de vigan las gratitudes resumen,1,1,-1,1,2025-01-03
62 best sellers de desarrollo personal y educación financiera resumidos visualmente descargar,1,1,-1,37,2025-01-03
principe de la oscuridad crucigrama,1,1,-1,5,2025-01-03
trópico de capricórnio henry miller,1,1,-1,2,2025-01-03
"quién es el autor del poema que inicia ""y en la última campanada brindaré...",1,1,-1,4,2025-01-03
hijo de la bruja malvada,1,1,-1,6,2025-01-03
"ernesto ekaizer""cronicas de un atraco perfecto",1,1,-1,1,2025-01-03
"la sabiduría del ermitaño es diferente a la del mundo, la ley de la contemplación es diferente a la de la acción.",1,1,-1,1,2025-01-03
un fotografo en la plata odolfo,1,1,-1,1,2025-01-03
los guardianes de la libertad reseñas noam chomsky,1,1,-1,4,2025-01-03
extracto de premonicion en libros en espanol,1,1,-1,2,2025-01-03
noche de reyes,0,49,-1,8,2025-01-03
la resistencia de sánchez,0,31,-1,8,2025-01-03
como se fo,0,23,-1,5,2025-01-03
las lecciones que ya da la españa vacía,0,16,-1,3,2025-01-03
el caballero de la armadura oxidada,0,14,-1,10,2025-01-03
pepe gotera y otilio hentai,0,11,-1,10,2025-01-03
el monje que vendio su ferrari,0,10,-1,6,2025-01-03
mein kampf,0,9,-1,10,2025-01-03
manifiesto negro,0,8,-1,8,2025-01-03
la historia detrás de la inspiración de raúl,0,7,-1,4,2025-01-03
el origen perdido,0,7,-1,5,2025-01-03
wayne w dyer tus zonas erroneas de donde es el aut,0,6,-1,7,2025-01-03
jurassic park michael crichton resumen,0,6,-1,6,2025-01-03
libro perdiendo la virginidad,0,5,-1,10,2025-01-03
cestonrio sobr gregor,0,4,-1,4,2025-01-03
última campanada con la ins,0,4,-1,4,2025-01-03
resumen de hogar dulce hogar de historias de fantasma,0,4,-1,4,2025-01-03
historia de un crimen perfecto,0,4,-1,10,2025-01-03
el verano en el que me enamore,0,4,-1,6,2025-01-03
misericordia novela de galdós,0,4,-1,9,2025-01-03
la lengua de las mariposas,0,3,-1,9,2025-01-03
cual es el numero de la traicion,0,3,-1,5,2025-01-03
el delincuente honrado resumen,0,3,-1,3,2025-01-03
culpa tuya resumen,0,3,-1,9,2025-01-03
rakuten kobo cristian perfumo el secreto sumergido,0,3,-1,6,2025-01-03
el miedo a la libertad erich fromm,0,3,-1,8,2025-01-03
libro la psicologia desconocida,0,3,-1,7,2025-01-03
el nombre del viento,0,3,-1,8,2025-01-03
el lugar sin límites,0,3,-1,9,2025-01-03
la plata de britania sinopsis,3,3,-1,4,2025-01-10
ninfa rota,3,2,-1,1,2025-01-10
resumen de 20 capitulos del libro hermanito creado por ibrahima balde y amets arzallus antia,3,1,-1,3,2025-01-10
el misterio del cuarto amarillo resumen,2,4,-1,8,2025-01-10
metro 2023 libro resumido,2,4,-1,1,2025-01-10
ana de miguel neoliberalismo sexual resumen,2,3,-1,3,2025-01-10
resumen piloto de guerra antoine de saint-exupéry,2,2,-1,4,2025-01-10
resumen del libro de muerte priorato de pagina 30 a 50,2,2,-1,66,2025-01-10
resunen del libro vivos y muertos de alberto vazquez f,2,2,-1,2,2025-01-10
la extraordinaria vida de una mujer singular,2,2,-1,2,2025-01-10
analisis literario novela las manzanas de aghata cristhie,2,2,-1,4,2025-01-10
